"Select","edge_id","char_id","feature","weight","type","ps_score","ps_score_weighted"
"Select","4","24","1st conj verbs aor in other stems grem gramgrim 95 tshless aorist","1","standard","4","4"
"Select","5","27","doubling of aux verb in neg em krer em 98","1","standard","11","11"
"Select","6","46","loses 2nd syll pi p bi b 92","1","standard","15","15"
"Select","8","2","spread of ustem conjugation 77","1","standard","12","12"
"Select","8","17","1st conjugation verbs only 3SG in e 87","1","standard","12","12"
"Select","8","30","past imperf 1st pl in place of 1st sg              1003","1","standard","1","1"
"Select","10","9","present progressive 81","1","standard","9","9"
"Select","10","28","neg particle 99","1","standard","5","5"
"Select","11","17","1st conjugation verbs only 3SG in e 87","1","standard","12","12"
"Select","11","19","i  i in aux verbs i ir etc 89","1","standard","7","7"
"Select","13","55","bidi shows obligatoriness","1","standard","2","2"
"Select","14","49","il PTCP future","1","standard","1","1"
"Select","15","20","participles in loc lyac li lik in contrast to CA 90","1","standard","5","5"
"Select","15","22","past formed w periphrastic constrw particle 93","1","standard","4","4"
"Select","15","33","nenaanaetc conditional enclitic marker","1","standard","10","10"
"Select","16","23","1st 3rd conj aor in cank 94","1","standard","15","15"
"Select","17","4","present w ku k k g g 78","1","standard","11","11"
"Select","17","10","progressive ha hay hay haykak aha hana 80","1","standard","22","22"
"Select","18","2","spread of ustem conjugation 77","1","standard","12","12"
"Select","20","3","preverbal particle form generally","1","standard","8","8"
"Select","21","7","g mobile affix","1","standard","7","7"
"Select","22","8","korgor","1","standard","10","10"
"Select","23","46","loses 2nd syll pi p bi b 92","1","standard","15","15"
"Select","25","4","present w ku k k g g 78","1","standard","11","11"
"Select","25","46","loses 2nd syll pi p bi b 92","1","standard","15","15"
"Select","26","16","aorpret in uk yepadz yepug 86","1","standard","6","6"
"Select","27","37","e  i before nasals in 1st conj","1","standard","3","3"
"Select","27","39","mobile bidi","1","standard","2","2"
"Select","28","33","nenaanaetc conditional enclitic marker","1","standard","10","10"
"Select","28","44","2SG imperfect eir  eis","1","standard","1","1"
"Select","28","53","bidor future","1","standard","1","1"
"Select","29","4","present w ku k k g g 78","1","standard","11","11"
"Select","29","15","pluperf in r perer em 85","1","standard","3","3"
"Select","30","9","present progressive 81","1","standard","9","9"
"Select","30","23","1st 3rd conj aor in cank 94","1","standard","15","15"
"Select","32","6","indicative kaga","1","standard","4","4"
"Select","32","14","man particle yelman instead of yeladz resultative 84","1","standard","5","5"
"Select","34","10","progressive ha hay hay haykak aha hana 80","1","standard","22","22"
"Select","34","21","grabar participle in agaagun comp future 91","1","standard","4","4"
"Select","34","26","postposed negative kril mi kres i 97","1","standard","4","4"
"Select","34","29","u or unim comp tenses kru kradz unim  100","1","standard","1","1"
"Select","35","7","g mobile affix","1","standard","7","7"
"Select","38","23","1st 3rd conj aor in cank 94","1","standard","15","15"
"Select","38","27","doubling of aux verb in neg em krer em 98","1","standard","11","11"
"Select","39","4","present w ku k k g g 78","1","standard","11","11"
"Select","40","9","present progressive 81","1","standard","9","9"
"Select","44","2","spread of ustem conjugation 77","1","standard","12","12"
"Select","45","23","1st 3rd conj aor in cank 94","1","standard","15","15"
"Select","46","46","loses 2nd syll pi p bi b 92","1","standard","15","15"
"Select","48","17","1st conjugation verbs only 3SG in e 87","1","standard","12","12"
"Select","49","16","aorpret in uk yepadz yepug 86","1","standard","6","6"
"Select","50","18","aux copula to a in 3rd person a  a 88","1","standard","10","10"
"Select","51","9","present progressive 81","1","standard","9","9"
"Select","51","58","doubled guggeuetc","1","standard","2","2"
"Select","52","28","neg particle 99","1","standard","5","5"
"Select","54","26","postposed negative kril mi kres i 97","1","standard","4","4"
"Select","55","6","indicative kaga","1","standard","4","4"
"Select","56","7","g mobile affix","1","standard","7","7"
"Select","57","26","postposed negative kril mi kres i 97","1","standard","4","4"
"Select","58","3","preverbal particle form generally","1","standard","8","8"
"Select","58","4","present w ku k k g g 78","1","standard","11","11"
"Select","58","9","present progressive 81","1","standard","9","9"
"Select","58","15","pluperf in r perer em 85","1","standard","3","3"
"Select","58","45","uses any form of bidi inc multiple particles","1","standard","2","2"
"Select","59","42","u or i prefix for monosyllablic imperatives","1","standard","2","2"
"Select","60","8","korgor","1","standard","10","10"
"Select","60","33","nenaanaetc conditional enclitic marker","1","standard","10","10"
"Select","60","60","CA INF ul  el","1","standard","2","2"
"Select","61","1","1st and 2nd conjugations fall together 76","1","standard","7","7"
"Select","62","36","anel  nul","1","standard","8","8"
"Select","64","1","1st and 2nd conjugations fall together 76","1","standard","7","7"
"Select","64","19","i  i in aux verbs i ir etc 89","1","standard","7","7"
"Select","64","46","loses 2nd syll pi p bi b 92","1","standard","15","15"
"Select","65","21","grabar participle in agaagun comp future 91","1","standard","4","4"
"Select","68","24","1st conj verbs aor in other stems grem gramgrim 95 tshless aorist","1","standard","4","4"
"Select","69","14","man particle yelman instead of yeladz resultative 84","1","standard","5","5"
"Select","69","46","loses 2nd syll pi p bi b 92","1","standard","15","15"
"Select","70","16","aorpret in uk yepadz yepug 86","1","standard","6","6"
"Select","72","23","1st 3rd conj aor in cank 94","1","standard","15","15"
"Select","73","33","nenaanaetc conditional enclitic marker","1","standard","10","10"
"Select","74","2","spread of ustem conjugation 77","1","standard","12","12"
"Select","74","36","anel  nul","1","standard","8","8"
"Select","76","46","loses 2nd syll pi p bi b 92","1","standard","15","15"